quan_cu,phuong_xa,duong_pho,ngo,dien_tich_thuc_te_m,dien_tich_tren_so_m,so_tang,hinh_so_o_thua_at,hien_trang_nha,ket_cau_nha,noi_that,co_thang_may_khong,so_phong_ngu,so_phong_ve_sinh,o_rong_mat_tien_tren_so_m,o_rong_mat_tien_thuc_te_m,chieu_sau_m,o_rong_uong_truoc_nha_m,co_via_he_neu_co_thi_ien_so_met,khoang_cach_ra_uong_o_to,khoang_cach_ra_uong_o_to_tranh,khoang_cach_ra_mat_pho,o_rong_uong_nho_nhat_khi_i_vao_nha,vi_tri_so_may_theo_quy_inh_nha_nuoc,ngo_thong_hay_ngo_cut,nha_nam_cuoi_ngo_cut,nha_may_mat_thoang,o_rong_mat_thoang_ben_canh_neu_co_thi_ien_so_met,o_rong_mat_thoang_ang_sau_nha_neu_co_thi_ien_so_met,khu_vuc_thuan_e_o_khong_kinh_doanh_buon_ban,khu_vuc_doanh_doanh_sam_uat,khu_vuc_kinh_doanh_nho,khu_vuc_kinh_doanh_van_phong,nha_ang_cho_thue,dong_tien_ang_cho_thue_bao_nhieu_1_nam,gan_truong_hoc_mam_non,gan_truong_hoc_cap_1,gan_truong_hoc_cap_2,gan_truong_hoc_cap_3,gan_truong_ai_hoc,gan_cong_vien,gan_benh_vien,gan_cho,gan_trung_tam_thuong_mai_khu_o_thi,khu_dan_tri_thap,khu_dan_tri_cao,gan_bai_o_xe_o_to,ha_tang_xay_dung_xung_quanh,cot_ien_truoc_nha,tram_ien_bien_ap_truoc_nha,cay_truoc_to_truoc_nha,nha_khuat_mat_tien,canh_nha_tang_le,mo_nghia_trang,nam_duoi_chan_cau_hoac_uong_ien_cao_the,nha_nam_trong_quy_hoach,at_dinh_tranh_chap_di_chuc_chua_ro_rang,at_khong_so,loai_at_neu_khac_thi_ien_bao_nhieu_at_o_bao_nhieu_at_nong_nghiep_at_trong_cay_lau_nam,gia_tri_tuong_lai,ngay_gia_chao_cuoi,gia_chot,gia_hien_tai
thanh xuân,,bùi xương trạch,,100,82,3,nở hậu,xây 10–15 năm,nhà khung cột,nội thất cơ bản,0,4,3,3,3,33,3,0,0,3,50,3,3,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,1,không,0,1,1,1,1,0,0,0,1,0,0,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,26/05/2025,12500000000,"12,447,311,827.50"
thanh xuân,,bùi xương trạch,,25,25,3,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,0,3,3,3,3,8,2.5,0,100,100,300,1.5,4,0,0,lô góc 2 mặt thoáng,2,0,1,0,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,,0,không sổ,100% đất thổ cư,không có,25/06/2025,2200000000,"2,268,388,705.00"
thanh xuân,,bùi xương trạch,,18,16,3,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,0,2,2,2.7,2.7,6,2,0,50,50,50,2,3,0,0,lô góc 2 mặt thoáng,2,0,0,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,không sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,17/05/2025,1530000000,"1,523,550,967.69"
thanh xuân,,bùi xương trạch,,34,34,5,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,0,6,4,3,3,11,3,0,20,20,20,2,3,1,0,chỉ có 1 mặt tiền,0,0,0,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,2/4/2025,6950000000,"7,000,191,419.65"
thanh xuân,,bùi xương trạch,,42,42,6,vuông,mới xây xong,nhà khung cột,nội thất cơ bản,1,10,10,4.3,4.3,10,2,0,100,100,100,1,4,0,0,lô góc 2 mặt thoáng,1,0,1,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,11/7/2025,10000000000,"9,990,506,602.00"
thanh xuân,,bùi xương trạch,,45,45,4,vuông,xây < 5 năm,nhà khung cột,chỉ có nội thất liền tường,0,5,3,3.6,3.6,13,3,0,100,100,100,1.5,4,0,0,lô góc 2 mặt thoáng,1.5,0,1,1,1,0,không,0,1,1,1,1,1,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,nhỏ,không,không,không,không có,không có,1,,0,có sổ,100% đất thổ cư,không có,23/07/2025,9300000000,"9,291,171,139.86"
thanh xuân,,bùi xương trạch,,31,31,5,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,0,3,3,3.4,3.4,9,2,0,100,100,100,1,4,0,0,lô góc 2 mặt thoáng,1,0,1,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,3/7/2025,6460000000,"6,453,867,264.89"
thanh xuân,,bùi xương trạch,,54,54,4,vuông,xây 5–10 năm,nhà khung cột,nội thất cơ bản,0,2,3,3.2,3.2,17,3,0,100,100,100,1,4,0,1,chỉ có 1 mặt tiền,0,0,1,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,13/06/2025,7850000000,"8,094,023,333.75"
thanh xuân,,bùi xương trạch,,30,30,4,vuông,xây 10–15 năm,nhà khung cột,nội thất cơ bản,0,2,3,4.8,4.8,6.7,3,0,200,200,200,1.5,4,1,0,lô góc 2 mặt thoáng,1.5,0,1,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,19/05/2025,5900000000,"5,875,131,182.58"
thanh xuân,,bùi xương trạch,,42,41.5,6,méo mó,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,9,5,4,4,10.3,2.5,0,300,300,300,1,4,1,0,lô góc 3 mặt thoáng,1.5,0,1,1,1,0,phòng trọ,0,1,1,1,1,0,0,0,1,0,1,1,không có,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,11/6/2025,8000000000,"8,248,686,200.00"
thanh xuân,,bùi xương trạch,,45,39,4,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,0,3,3,3,3,15,4,0,10,10,10,2,3,0,0,chỉ có 1 mặt tiền,0,0,1,1,1,1,không,0,1,1,1,1,0,0,0,1,0,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,8/7/2025,8900000000,"8,891,550,875.78"
thanh xuân,,bùi xương trạch,,50,45.6,4,vuông,xây 10–15 năm,nhà khung cột,nội thất cơ bản,0,4,3,3.1,3.1,16,3,0,200,200,500,1.5,4,1,0,chỉ có 1 mặt tiền,0,0,1,1,1,0,phòng trọ,120000000,1,1,1,1,0,0,0,1,0,1,1,300–500m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,26/05/2025,6880000000,"6,851,000,429.86"
thanh xuân,,bùi xương trạch,,20,20,3,vuông,xây 5–10 năm,nhà khung cột,chỉ có nội thất liền tường,0,2,3,3.5,3.5,6,5,0,0,50,50,4,2,1,0,chỉ có 1 mặt tiền,0,0,0,1,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,1,,0,không sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,10/6/2025,2350000000,"2,423,051,571.25"
thanh xuân,,bùi xương trạch,,45,45,4,nở hậu,mới xây xong,nhà khung cột,nội thất cơ bản,0,4,3,3.8,3.8,12,4,0,10,20,150,2,3,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,0,0,0,1,0,1,1,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,21/06/2025,7738000000,"7,978,541,726.95"
thanh xuân,,bùi xương trạch,,27,27,4,vuông,xây 5–10 năm,nhà khung cột,nội thất cơ bản,0,3,3,3.9,3.9,7,3,0,0,100,200,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,0,0,0,1,0,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,11/7/2025,6800000000,"6,793,544,489.36"
thanh xuân,,chính kinh,,27,27,5,vuông,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,3,4,3.5,3.5,8,2,0,100,100,100,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,10/5/2025,6180000000,"5,877,407,553.16"
thanh xuân,,chính kinh,,25,21,4,nở hậu,mới xây xong,nhà khung cột,nội thất cơ bản,0,3,3,3.4,3.4,6.2,2,0,150,150,150,1.5,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,12/8/2025,5240000000,"4,820,752,040.38"
thanh xuân,,cự lộc,,32,32,5,vuông,xây < 5 năm,nhà khung cột,chỉ có nội thất liền tường,0,3,4,4.3,4.3,10,1.5,0,50,100,50,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,11/1/2025,7100000000,"10,413,484,764.50"
thanh xuân,,cự lộc,,31,28,4,vuông,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,3,4,3.3,3.3,10,3,0,50,50,50,2,3,0,0,lô góc 2 mặt thoáng,2,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,21/01/2025,5350000000,"7,846,780,773.25"
thanh xuân,,cự lộc,,31,31,6,vuông,mới xây xong,nhà khung cột,chỉ có nội thất liền tường,1,4,5,3.5,3.5,9,2,0,50,50,50,1.5,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,7/5/2025,8260000000,"9,781,214,001.44"
thanh xuân,,cự lộc,,36,33,6,méo mó,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,3,4,3.8,3.8,9,2,0,100,100,100,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,18/06/2025,7360000000,"8,798,988,199.36"
thanh xuân,phương liệt,định công,,32,28,4,nở hậu,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,"nội thất giá trị cao, tiền tỷ",1,3,3,3.5,3.6,7.5,2.5,0,30,30,50,2,4,0,1,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,1,1,1,1,1,0,1,không có,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,27/03/2025,4950000000,"5,491,847,596.95"
thanh xuân,,giáp nhất,,30,28,6,méo mó,xây 5–10 năm,nhà khung cột,nội thất cơ bản,0,0,0,4.2,4.2,8,10,2.5,0,0,0,0,1,1,0,chỉ có 1 mặt tiền,0,0,0,1,0,1,kinh doanh,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,1,quy hoạch 1/2000,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,24/07/2025,10700000000,"13,406,461,670.10"
thanh xuân,,giáp nhất,,50,48,7,vuông,mới xây xong,nhà khung cột,nội thất cơ bản,1,11,11,3,3,15.8,3.5,0,150,300,300,1.5,4,0,0,lô góc 2 mặt thoáng,0,0,1,0,1,1,phòng trọ,800000000,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,,0,có sổ,100% đất thổ cư,không có,26/04/2025,12600000000,"16,097,269,179.60"
thanh xuân,,hạ đình,,40,40,3,vuông,xây 10–15 năm,nhà khung cột,nội thất cơ bản,0,2,1,3.8,3.8,5,2,0,200,200,200,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,1,1,0,phòng trọ,0,1,1,1,1,1,0,0,1,1,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,,0,không sổ,100% đất thổ cư,không có,20/06/2025,1780000000,"2,483,236,077.44"
thanh xuân,,hạ đình,,27,23,5,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,chỉ có nội thất liền tường,0,3,4,3.3,3.3,8.2,2,0,100,200,200,1.5,4,1,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,0,0,1,1,1,1,1,100–300m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,,0,có sổ,100% đất thổ cư,không có,10/5/2025,6350000000,"9,138,835,830.75"
thanh xuân,,hoàng đạo thành,,42,40,6,méo mó,xây < 5 năm,nhà khung cột,nội thất cơ bản,1,0,0,3.8,3.8,10,5,0,0,0,100,4,2,1,0,chỉ có 1 mặt tiền,0,0,1,1,1,1,văn phòng,0,1,1,1,1,1,0,0,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,23/05/2025,11700000000,"14,499,458,286.30"
thanh xuân,,hoàng ngân,,67.2,67.2,5,thóp hậu < 20% so với mặt tiền,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,1,6,7,4.3,4.3,13,3,0,10,10,10,2,3,0,0,chỉ có 1 mặt tiền,0,0,0,1,1,1,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,20/03/2025,16300000000,"26,317,450,690.10"
thanh xuân,,hoàng ngân,,45,45,1,vuông,mới xây xong,nhà khung cột,nội thất cơ bản,1,2,1,3.5,3.5,8,4,0,50,50,50,3,3,1,0,chỉ có 1 mặt tiền,0,0,1,0,1,1,phòng trọ,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,1,không có quy hoạch,0,không sổ,100% đất thổ cư,không có,4/8/2025,1530000000,"1,728,968,609.79"
thanh xuân,,hoàng ngân,,40,40,1,vuông,"đất, nhà cấp 4 cũ",nhà tường chịu lực,"đất, nhà cấp 4 cũ",0,0,1,5.9,5.9,8,10,1,0,0,0,0,1,1,0,chỉ có 1 mặt tiền,0,0,0,1,1,1,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,,0,có sổ,đất quốc phòng,tầm nhìn có quy hoạch phụ cận ngay gần nhà,21/07/2025,10500000000,"10,468,842,729.45"
thanh xuân,,hoàng văn thái,,51,51,3,méo mó,mới xây xong,nhà khung cột,nội thất cơ bản,0,3,3,1.5,1.5,20,3,0,100,100,100,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,quy hoạch 1/500,0,có sổ,100% đất thổ cư,không có,4/4/2025,6175000000,"5,763,910,543.72"
thanh xuân,,hoàng văn thái,,43,43,7,vuông,nhà cũ mới sửa lại đẹp (chỉ tích chọn nếu chủ sửa lại đẹp long lanh),nhà khung cột,nội thất cơ bản,1,9,10,4,4,11,2.5,0,50,50,100,2,3,0,0,chỉ có 1 mặt tiền,0,0,1,0,1,0,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,xung quanh đồng bộ xây nhà cao tầng,không,không,không,không,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,25/03/2025,12600000000,"12,584,876,672.34"
thanh xuân,,hoàng văn thái,,36,29,4,vuông,xây < 5 năm,nhà khung cột,nội thất cơ bản,0,4,3,3.2,3.2,11,10,2,0,0,0,0,1,1,0,chỉ có 1 mặt tiền,0,0,0,1,1,1,không,0,1,1,1,1,1,1,1,1,1,1,1,dưới 100m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,1,quy hoạch 1/2000,0,có sổ,100% đất thổ cư,tầm nhìn có quy hoạch phụ cận ngay gần nhà,18/04/2025,15300000000,"14,281,430,173.11"
thanh xuân,,hoàng văn thái,,51,35,4,vuông,xây > 15 năm,nhà khung cột,chỉ có nội thất liền tường,0,3,3,5,2.5,7,3.5,0,150,150,200,1,4,0,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,1,1,1,1,1,1,1,300–500m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,< 50%,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,19/05/2025,6300000000,"6,159,728,586.69"
thanh xuân,,hoàng văn thái,,51,36,4,vuông,xây > 15 năm,nhà khung cột,chỉ có nội thất liền tường,0,3,3,5,2.5,11,5,0,100,150,150,1,4,1,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,không,0,1,1,1,1,1,1,1,1,1,1,1,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,< 50%,không có,không có,0,không có quy hoạch,0,có sổ,100% đất thổ cư,không có,6/7/2025,6890000000,"6,035,595,031.04"
thanh xuân,,hoàng văn thái,,42,42,4,vuông,xây 5–10 năm,nhà khung cột,nội thất cơ bản,0,4,4,4,4,10,3,0,150,150,150,1.5,4,1,0,chỉ có 1 mặt tiền,0,0,1,0,0,0,phòng trọ,150000000,1,1,1,1,1,1,1,1,1,1,1,100–300m,"xung quanh xây có căn cao tầng, có căn không",không,không,không,không,không có,không có,0,nằm trong quy hoạch treo không khả thi,0,có sổ,100% đất thổ cư,không có,15/07/2025,11950000000,10468122006
